County Code,Perm ID,Facility Name,Building Nbr,Building Name,Building Status,SPC Rating *,Building URL,Height (ft),Stories,Building Code,Building Code Year,Year Completed,Count,Location 1
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-03431,South Wing - Phase 2,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=78HIS&capID2=00000&capID3=00055&agencyCode=OSHPD,102.5,6,1973 California Building Code (CBC),1973,1980,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-03433,West Service Wing - Building 2,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=64HIS&capID2=00000&capID3=00062&agencyCode=OSHPD,23,2,1964 Uniform Building Code (UBC),1964,1965,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-03434,Orig Emergency Wing - East Wing,Not an Independent Building,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=64HIS&capID2=00000&capID3=00063&agencyCode=OSHPD,,1,1961 Uniform Building Code (UBC),1961,1964,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-05300,Patient Care Pavilion,In Service,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=11CAP&capID2=00000&capID3=0034R&agencyCode=OSHPD,154.75,12,2007 California Building Code (CBC),2007,2014,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-06010,New LOX Tank,Proposed,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=16CAP&capID2=00000&capID3=0023T&agencyCode=OSHPD,,,2013 California Building Code (CBC),2013,,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-06060,Emergency Generator Yard,Equipment Yard,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=16CAP&capID2=00000&capID3=004UR&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,2014,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11338,Alta Bates Summit Medical Center - Summit Campus,BLD-00708,Main Hospital Building,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=78HIS&capID2=00000&capID3=00013&agencyCode=OSHPD,,6,1976 California Building Code (CBC),1976,1978,1,"Oakland
(37.8199008, -122.2643586)"
01 - Alameda,11338,Alta Bates Summit Medical Center - Summit Campus,BLD-03443,Main Entrance Canopy,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=78HIS&capID2=00000&capID3=00057&agencyCode=OSHPD,,1,1976 California Building Code (CBC),1976,1978,1,"Oakland
(37.8199008, -122.2643586)"
01 - Alameda,11338,Alta Bates Summit Medical Center - Summit Campus,BLD-03444,Bridge at Link,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=78HIS&capID2=00000&capID3=00058&agencyCode=OSHPD,,2,1976 California Building Code (CBC),1976,1978,1,"Oakland
(37.8199008, -122.2643586)"
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01285,Admin.,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=59HIS&capID2=00000&capID3=00011&agencyCode=OSHPD,13,1,1955 Uniform Building Code (UBC),1955,1959,1,"Berkeley
(37.8559265, -122.257309)"
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01286,Laundry/Hall of Health,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=59HIS&capID2=00000&capID3=00012&agencyCode=OSHPD,25,2,1955 Uniform Building Code (UBC),1955,1959,1,"Berkeley
(37.8559265, -122.257309)"
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01287,Boiler,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=68HIS&capID2=00000&capID3=00037&agencyCode=OSHPD,25,1,1961 Uniform Building Code (UBC),1961,1968,1,"Berkeley
(37.8559265, -122.257309)"
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01288,1968 Building,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=68HIS&capID2=00000&capID3=00038&agencyCode=OSHPD,83,7,1961 Uniform Building Code (UBC),1961,1968,1,"Berkeley
(37.8559265, -122.257309)"
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01289,1975 Building,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=75HIS&capID2=00000&capID3=00026&agencyCode=OSHPD,67,6,1970 Uniform Building Code (UBC),1970,1975,1,"Berkeley
(37.8559265, -122.257309)"
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01290,1985 Building,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=85HIS&capID2=00000&capID3=00017&agencyCode=OSHPD,,2,1979 California Building Code (CBC),1979,1985,1,"Berkeley
(37.8559265, -122.257309)"
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01291,Electric Service Building,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=85HIS&capID2=00000&capID3=00018&agencyCode=OSHPD,,2,1979 California Building Code (CBC),1979,1985,1,"Berkeley
(37.8559265, -122.257309)"
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01292,Oxygen Tank Enclosure,Equipment Yard,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=85HIS&capID2=00000&capID3=00019&agencyCode=OSHPD,,1,1979 California Building Code (CBC),1979,1985,1,"Berkeley
(37.8559265, -122.257309)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-01293,Cardiac Cath Lab - MPOE,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=94HIS&capID2=00000&capID3=00034&agencyCode=OSHPD,12,1,1992 California Building Code (CBC),1992,1994,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-01294,Patient Tower,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=80HIS&capID2=00000&capID3=00509&agencyCode=OSHPD,,5,1976 California Building Code (CBC),1976,1980,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-01295,West Site Plant,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=82HIS&capID2=00000&capID3=00015&agencyCode=OSHPD,,2,1976 California Building Code (CBC),1976,1982,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-01296,Cafeteria Addition,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=88HIS&capID2=00000&capID3=00028&agencyCode=OSHPD,33.25,1,1985 California Building Code (CBC),1985,1988,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-01297,Diagnostic & Treatment Building,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=61HIS&capID2=00000&capID3=00014&agencyCode=OSHPD,,3,1958 Uniform Building Code (UBC),1958,1961,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-01298,B/C Wing,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=46HIS&capID2=00000&capID3=00001&agencyCode=OSHPD,50,4,1943 Uniform Building Code (UBC),1943,1946,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-01299,A/B Wing,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=28HIS&capID2=00000&capID3=00005&agencyCode=OSHPD,50,4,1927 Uniform Building Code (UBC),1927,1928,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-03121,Loading Dock,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=82HIS&capID2=00000&capID3=00047&agencyCode=OSHPD,,2,1976 California Building Code (CBC),1976,1982,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-05214,Western Expansion Building,In Service,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=09HIS&capID2=00000&capID3=00258&agencyCode=OSHPD,,2,1998 California Building Code (CBC),1998,2009,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-05822,Outpatient Clinic,Clinic - Local Jurisdiction,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=14CAP&capID2=00000&capID3=00BJR&agencyCode=OSHPD,,,2010 California Building Code (CBC),2010,,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-05837,Chiller Plant,Proposed,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=15CAP&capID2=00000&capID3=0005S&agencyCode=OSHPD,,1,2013 California Building Code (CBC),2013,,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,11242,Children's Hospital & Research Center Oakland,BLD-05856,Outpatient Center 2,Clinic - Local Jurisdiction,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=15CAP&capID2=00000&capID3=002S4&agencyCode=OSHPD,,6,2013 California Admin Code (CAC),2013,,1,"Oakland
(37.8368568, -122.2671051)"
01 - Alameda,18180,Eden Medical Center,BLD-05340,Replacement Hospital,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=001A5&agencyCode=OSHPD,117.5,6,2007 California Building Code (CBC),2007,2014,1,"Castro Valley
(37.69838, -122.0873925)"
01 - Alameda,18180,Eden Medical Center,BLD-05341,Chiller Building,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=001A6&agencyCode=OSHPD,18,1,2007 California Building Code (CBC),2007,2014,1,"Castro Valley
(37.69838, -122.0873925)"
01 - Alameda,18180,Eden Medical Center,BLD-05342,Main Entrance Canopy,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=001A7&agencyCode=OSHPD,17,1,2007 California Building Code (CBC),2007,2014,1,"Castro Valley
(37.69838, -122.0873925)"
01 - Alameda,18180,Eden Medical Center,BLD-05343,Emergency Entrance Canopy,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=001A8&agencyCode=OSHPD,17,1,2007 California Building Code (CBC),2007,2014,1,"Castro Valley
(37.69838, -122.0873925)"
01 - Alameda,11268,Fairmont Hospital,BLD-01311,Building B,Skilled Nursing Only,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=30HIS&capID2=00000&capID3=00002&agencyCode=OSHPD,,3,1927 Uniform Building Code (UBC),1927,1930,1,"San Leandro
(37.7100449, -122.1153183)"
01 - Alameda,11268,Fairmont Hospital,BLD-01312,Building H,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=61HIS&capID2=00000&capID3=00015&agencyCode=OSHPD,23,2,1955 Uniform Building Code (UBC),1955,1961,1,"San Leandro
(37.7100449, -122.1153183)"
01 - Alameda,11288,Highland Hospital,BLD-01315,Critical Care Building,In Service,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=06HIS&capID2=00000&capID3=00026&agencyCode=OSHPD,,5,1995 California Building Code (CBC),1995,2006,1,"Oakland
(37.7991754, -122.2310563)"
01 - Alameda,11288,Highland Hospital,BLD-01316,Acute Care Tower,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=69HIS&capID2=00000&capID3=00026&agencyCode=OSHPD,,10,1964 Uniform Building Code (UBC),1964,1969,1,"Oakland
(37.7991754, -122.2310563)"
01 - Alameda,11288,Highland Hospital,BLD-01318,Chiller Building,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=25HIS&capID2=00000&capID3=00001&agencyCode=OSHPD,,1,Unknown,,1925,1,"Oakland
(37.7991754, -122.2310563)"
01 - Alameda,11288,Highland Hospital,BLD-01319,Boiler Plant,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=25HIS&capID2=00000&capID3=00002&agencyCode=OSHPD,,1,Unknown,,1925,1,"Oakland
(37.7991754, -122.2310563)"
01 - Alameda,11288,Highland Hospital,BLD-02957,New Acute Care Building,Under Construction,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00171&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,,1,"Oakland
(37.7991754, -122.2310563)"
01 - Alameda,11288,Highland Hospital,BLD-05785,John George Psychiatric Hospital,Acute Psych Only,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=14CAP&capID2=00000&capID3=0076M&agencyCode=OSHPD,,,1982 California Building Code (CBC),1982,1993,1,"San Leandro
(37.7991754, -122.2310563)"
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02489,Hospital Patient Wing North,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00065&agencyCode=OSHPD,,2,1989 California Building Code (CBC),1989,1995,1,"Fremont
(37.5518335, -121.9776935)"
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02490,Hospital Patient Wing South,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00066&agencyCode=OSHPD,,2,1989 California Building Code (CBC),1989,1995,1,"Fremont
(37.5518335, -121.9776935)"
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02491,Hospital North,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00067&agencyCode=OSHPD,,2,1989 California Building Code (CBC),1989,1995,1,"Fremont
(37.5518335, -121.9776935)"
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02492,Hospital South,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00068&agencyCode=OSHPD,,2,1989 California Building Code (CBC),1989,1995,1,"Fremont
(37.5518335, -121.9776935)"
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02493,Central Plant,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00069&agencyCode=OSHPD,,1,1989 California Building Code (CBC),1989,1995,1,"Fremont
(37.5518335, -121.9776935)"
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02494,General Services Building,In Service,3s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=90HIS&capID2=00000&capID3=00058&agencyCode=OSHPD,,1,1989 California Building Code (CBC),1989,1991,1,"Fremont
(37.5518335, -121.9776935)"
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01320,Clinic,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=62HIS&capID2=00000&capID3=00010&agencyCode=OSHPD,,2,1958 Uniform Building Code (UBC),1958,1962,1,"Hayward
(37.6305771, -122.0951462)"
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01321,Hospital,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=64HIS&capID2=00000&capID3=00023&agencyCode=OSHPD,,4,1961 Uniform Building Code (UBC),1961,1964,1,"Hayward
(37.6305771, -122.0951462)"
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01322,Clinic Addition,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00040&agencyCode=OSHPD,,2,1970 Uniform Building Code (UBC),1970,1973,1,"Hayward
(37.6305771, -122.0951462)"
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01323,Storeroom,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=76HIS&capID2=00000&capID3=00029&agencyCode=OSHPD,,1,1973 California Building Code (CBC),1973,1976,1,"Hayward
(37.6305771, -122.0951462)"
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01324,West Wing Addition,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=75HIS&capID2=00000&capID3=00027&agencyCode=OSHPD,,4,1973 California Building Code (CBC),1973,1975,1,"Hayward
(37.6305771, -122.0951462)"
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01325,Central Plant,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=89HIS&capID2=00000&capID3=00021&agencyCode=OSHPD,,1,1979 California Building Code (CBC),1979,1989,1,"Hayward
(37.6305771, -122.0951462)"
