Year,oshpd_id,FACILITY_NAME,COUNTY_NAME,Type_Of_Control,ED_Level,Source,Principal Diagnosis Group,Count
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Congenital Anomalies (Birth Defects),86
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Perinatal Disorders,197
2014,106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Nonprofit - Corporation,,ED Admit,Psychoses & Neurosis,1
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,All Pregnancies,1350
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Blood/Blood-forming Organs,182
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Circulatory,1617
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Congenital Anomalies (Birth Defects),19
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Digestive,3751
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Endocrine/Metabolism,1182
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Genitourinary,3772
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Infections,1820
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Injuries/Drugs/Complications,10178
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Musculoskeletal,6462
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Neoplasms,259
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Nervous & Sensory Systems,3741
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Other Reasons for Health Services,8026
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Perinatal Disorders,17
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Psychoses & Neurosis,3202
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Respitory,4278
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Skin Disorders,3505
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Symptoms,12896
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,All Pregnancies,137
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Blood/Blood-forming Organs,85
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Circulatory,1246
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Digestive,1218
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Endocrine/Metabolism,446
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Genitourinary,364
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Infections,597
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Injuries/Drugs/Complications,1661
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Musculoskeletal,192
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Neoplasms,309
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Nervous & Sensory Systems,235
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Other Reasons for Health Services,143
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Psychoses & Neurosis,287
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Respitory,746
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Skin Disorders,371
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Symptoms,416
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Congenital Anomalies (Birth Defects),4
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,All Pregnancies,834
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Blood/Blood-forming Organs,219
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Circulatory,1406
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Congenital Anomalies (Birth Defects),4
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Digestive,1927
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Endocrine/Metabolism,779
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Genitourinary,1885
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Infections,1034
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Injuries/Drugs/Complications,10017
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Musculoskeletal,3054
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Neoplasms,53
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Nervous & Sensory Systems,2279
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Other Reasons for Health Services,2303
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Perinatal Disorders,32
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Psychoses & Neurosis,1502
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Respitory,3711
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Skin Disorders,1571
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Symptoms,12288
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Births,4
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Invalid,2
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,All Pregnancies,77
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Blood/Blood-forming Organs,76
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Circulatory,936
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Digestive,687
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Endocrine/Metabolism,197
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Genitourinary,168
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Infections,960
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Injuries/Drugs/Complications,391
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Musculoskeletal,101
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Neoplasms,83
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Nervous & Sensory Systems,107
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Other Reasons for Health Services,5
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Psychoses & Neurosis,69
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Respitory,357
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Skin Disorders,101
